,0,1,2,3,4,5
646,24-Mar-1936,7-Apr-1936, United Kingdom, The Bahamas,Fishing trip.,President Franklin D. Roosevelt
647,28-Jul-1936,30-Jul-1936, Canada,Campobello Island,Vacation.,President Franklin D. Roosevelt
648,31-Jul-1936,31-Jul-1936, Canada,Quebec,Official visit; met with Governor General Lord Tweedsmuir.,President Franklin D. Roosevelt
649,21-Nov-1936,21-Nov-1936, United Kingdom, Trinidad,Stopped on the way to South America.,President Franklin D. Roosevelt
650,27-Nov-1936,27-Nov-1936, Brazil,Rio de Janeiro,Addressed Brazilian Congress.,President Franklin D. Roosevelt
651,30-Nov-1936,2-Dec-1936, Argentina,Buenos Aires,Attended session of Inter-American Conference for the Maintenance of Peace in Rio de Janeiro.,President Franklin D. Roosevelt
652,3-Dec-1936,3-Dec-1936, Uruguay,Montevideo,Official visit; met with President Gabriel Terra.,President Franklin D. Roosevelt
653,11-Dec-1936,11-Dec-1936, United Kingdom, Trinidad,Stopped while returning to the United States.,President Franklin D. Roosevelt
654,4-Aug-1938,5-Aug-1938, Panama,Balboa,Informal visit with President Juan Demóstenes Arosemena during vacation in the Caribbean.,President Franklin D. Roosevelt
655,18-Aug-1938,18-Aug-1938, Canada,Kingston,"Met with Lieutenant Governor of Ontario Albert Edward Matthews, received honorary degree from Queen's University and dedicated Thousand Islands Bridge.",President Franklin D. Roosevelt
656,14-Aug-1939,16-Aug-1939, Canada,"Campobello Island and Sydney, Nova Scotia",Fishing trip.,President Franklin D. Roosevelt
657,17-Aug-1939,20-Aug-1939, United Kingdom,Bay of Islands and Bonne Bay (Newfoundland),Fishing trip.,President Franklin D. Roosevelt
658,21-Aug-1939,23-Aug-1939, Canada,Halifax,Stopped while returning to the United States.,President Franklin D. Roosevelt
659,27-Feb-1940,27-Feb-1940, Panama,"Cristobal, Balboa",Met informally with President Augusto Samuel Boyd during vacation.,President Franklin D. Roosevelt
660,5-Dec-1940,5-Dec-1940, United Kingdom, Jamaica,Inspected British base sites for possible American use.,President Franklin D. Roosevelt
661,8-Dec-1940,8-Dec-1940, United Kingdom, Saint Lucia,Inspected British base sites for possible American use.,President Franklin D. Roosevelt
662,8-Dec-1940,8-Dec-1940, France,Martinique,Conferred with U.S. officials.,President Franklin D. Roosevelt
663,9-Dec-1940,9-Dec-1940, United Kingdom,Antigua,Inspected British base sites for possible American use.,President Franklin D. Roosevelt
664,12-Dec-1940,13-Dec-1940, United Kingdom, The Bahamas,"Inspected British base sites for possible American use. Met with the Duke of Windsor at Eleutheria Island, December 13. Returned to the U.S. December 14.",President Franklin D. Roosevelt
665,9-Aug-1941,12-Aug-1941, United Kingdom,Argentia (Newfoundland),Attended conference with Prime Minister Winston Churchill; announced the Atlantic Charter.,President Franklin D. Roosevelt
666,11-Jan-1943,11-Jan-1943, United Kingdom, Trinidad,Overnight stop en route to Casablanca.,President Franklin D. Roosevelt
667,12-Jan-1943,12-Jan-1943, Brazil,Belem,Overnight stop en route to Casablanca.,President Franklin D. Roosevelt
668,13-Jan-1943,13-Jan-1943, United Kingdom, Bathurst (The Gambia),Overnight stop en route to Casablanca.,President Franklin D. Roosevelt
669,14-Jan-1943,25-Jan-1943, Morocco,Casablanca,Casablanca Conference with British Prime Minister Churchill.,President Franklin D. Roosevelt
670,25-Jan-1943,25-Jan-1943, United Kingdom, Bathurst (The Gambia),Overnight stop en route from Casablanca.,President Franklin D. Roosevelt
671,26-Jan-1943,27-Jan-1943, Liberia,Monrovia,Informal visit; met with President Edwin Barclay.,President Franklin D. Roosevelt
672,28-Jan-1943,28-Jan-1943, Brazil,Natal,Informal visit; met with President Getúlio Vargas.,President Franklin D. Roosevelt
673,29-Jan-1943,29-Jan-1943, United Kingdom, Trinidad,Overnight stop en route from Casablanca.,President Franklin D. Roosevelt
674,20-Apr-1943,20-Apr-1943, Mexico,Monterrey,Part of an exchange of visits with President Manuel Ávila Camacho across the border.,President Franklin D. Roosevelt
675,17-Aug-1943,25-Aug-1943, Canada,"Quebec, Ottawa","Attended First Quebec Conference with Governor General Lord Athlone, Canadian Prime Minister William Lyon Mackenzie King, and British Prime Minister Churchill.",President Franklin D. Roosevelt
676,20-Nov-1943,20-Nov-1943, France,Oran (Algeria),Disembarked en route to Cairo.,President Franklin D. Roosevelt
677,21-Nov-1943,22-Nov-1943, France,Tunis (Tunisia),Overnight stop en route to Cairo.,President Franklin D. Roosevelt
678,22-Nov-1943,26-Nov-1943, Egypt,Cairo,Attended First Cairo Conference with British Prime Minister Churchill and Chinese Generalissimo Chiang Kai-shek.,President Franklin D. Roosevelt
679,27-Nov-1943,2-Dec-1943, Iran,Tehran,Attended Tehran Conference with Soviet Premier Joseph Stalin and British Prime Minister Churchill.,President Franklin D. Roosevelt
680,2-Dec-1943,7-Dec-1943, Egypt,Cairo,Attended Second Cairo Conference with British Prime Minister Churchill and Turkish President İsmet İnönü.,President Franklin D. Roosevelt
681,7-Dec-1943,9-Dec-1943, France,Tunis (Tunisia),Conferred with General Dwight D. Eisenhower.,President Franklin D. Roosevelt
682,8-Dec-1943,8-Dec-1943, United Kingdom, Malta,Visited Allied military installations.,President Franklin D. Roosevelt
683,8-Dec-1943,8-Dec-1943, Italy,Castel Ventrano (Sicily),Visited Allied military installations.,President Franklin D. Roosevelt
684,9-Dec-1943,9-Dec-1943, France,Dakar (Senegal),Re-embarked for the U.S.,President Franklin D. Roosevelt
685,11-Sep-1944,16-Sep-1944, Canada,Quebec,Attended Second Quebec Conference with Canadian Prime Minister Mackenzie King and British Prime Minister Churchill.,President Franklin D. Roosevelt
686,2-Feb-1945,2-Feb-1945, United Kingdom, Malta,Attended Malta Conference with Prime Minister Churchill.,President Franklin D. Roosevelt
687,3-Feb-1945,12-Feb-1945, Soviet Union,Yalta,Attended Yalta Conference with Soviet Premier Stalin and British Prime Minister Churchill.,President Franklin D. Roosevelt
688,13-Feb-1945,15-Feb-1945, Egypt,"Great Bitter Lake, Suez Canal, Alexandria","Met with King Farouk of Egypt, Ethiopian Emperor Haile Selassie I, Saudi Arabian King Ibn Saud, and British Prime Minister Churchill.",President Franklin D. Roosevelt
689,18-Feb-1945,18-Feb-1945, France,Algiers (Algeria),"Briefed U.S. Ambassadors to the United Kingdom, France, and Italy on the Yalta Conference.",President Franklin D. Roosevelt
